Title,Genders,Developers,Publishers,Release Date (NA),Release Date (EU),Release Date (JP),Release Date (AU),Addons,Xbox One
Final Fantasy XI: Seekers of Adoulin,"MMORole-playing, Expansion",Square Enix,Square Enix,"Mar 26, 2013","Mar 26, 2013","Mar 26, 2013","Nov 22, 2013",,
Final Fantasy XI: Wings of the Goddess,"MMORole-playing, Expansion",Square Enix,Square Enix,"Nov 20, 2007","Nov 23, 2007","Nov 22, 2007","Nov 22, 2013",,
Final Fantasy XI,MMORole-playing,Square Enix,Square Enix,"Apr 16, 2006","Apr 21, 2006","Apr 20, 2006","Nov 22, 2013",,
Final Fantasy XIII,Role-playing,Square Enix,Square Enix,"Mar 9, 2010","Mar 9, 2010","Dec 16, 2010","Nov 22, 2013",,XBO   XE
Final Fantasy XIII-2,Role-playing,Square Enix,Square Enix,"Jan 31, 2012","Feb 3, 2012","Dec 15, 2011","Nov 22, 2013",,XBO   XE
"Final Fight: Double Impact(Final Fight, Magic Sword)",Classics,Proper Games,Capcom,"Apr 14, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Fire Pro Wrestling,Fighting,Spike Chunsoft,Microsoft Studios,"Sep 21, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Fireburst,Racing & Flying,IndiePub,Bigben Interactive,"Jun 14, 2013",Unreleased,Unreleased,Unreleased,XBLA,
The First Templar,Action-adventure,Haemimont Games,Kalypso Media,"Apr 26, 2011","Apr 26, 2011","Apr 26, 2011","Nov 22, 2013",,
Fist of the North Star: Ken's Rage,Beat 'em Up,Omega Force,Koei,"Nov 2, 2010","Nov 5, 2010","Mar 25, 2010","Nov 22, 2013",,
Fist of the North Star: Ken's Rage 2,Beat 'em Up,Koei,Tecmo Koei,"Feb 5, 2013","Feb 8, 2013","Dec 20, 2012","Nov 22, 2013",,
Flashback,Platformer,VectorCell,Ubisoft,"Aug 21, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
FlatOut: Ultimate Carnage,"Racing, Vehicular combat",Bugbear Entertainment,Empire Interactive,"Oct 2, 2007","Jun 22, 2007","Apr 24, 2008","Nov 22, 2013",,
Flock!,Action & Adventure,Proper Games,Capcom,"Apr 8, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Football Genius: The Ultimate Quiz,Sports & Recreation,RTL Sports,I-Imagine Interactive,"Sep 30, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Football Manager 2006,Sports Management,Sports Interactive,Sega Europe,Unreleased,"Apr 13, 2006",Unreleased,"Mar 23, 2006",,
Football Manager 2007,Sports Management,Sports Interactive,Sega Europe,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Football Manager 2008,Sports Management,Sports Interactive,Sega Europe,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Forza Horizon,"Racing, Open World","Playground Games, Turn 10 Studios",Microsoft Studios,"Oct 23, 2012","Oct 26, 2012","Oct 25, 2012","Oct 23, 2012",K,XBO   XE
Forza Horizon 2,"Racing, Open World","Sumo Digital, Turn 10 Studios",Microsoft Studios,"Sep 30, 2014","Oct 3, 2014","Oct 2, 2014","Oct 2, 2014",K,
Forza Motorsport 2,Racing,Turn 10 Studios,Microsoft Game Studios,"May 29, 2007","Jun 8, 2007","May 24, 2007","Nov 22, 2013",,
Forza Motorsport 3,Racing,Turn 10 Studios,Microsoft Game Studios,"Oct 27, 2009","Oct 23, 2009","Oct 22, 2009","Nov 22, 2013",,
Forza Motorsport 4,Racing,Turn 10 Studios,Microsoft Studios,"Oct 11, 2011","Oct 14, 2011","Oct 20, 2011","Nov 22, 2013",K,
Foul Play,Action & Adventure,Mediatonic,Mastertronic Group,"Sep 18, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Fracture,Third-person Shooter,Day 1 Studios,LucasArts,"Oct 7, 2008","Oct 10, 2008","Oct 30, 2008","Nov 22, 2013",,
Freefall Racers,Kinect,Smoking Gun Interactive,Deep Silver,"Sep 6, 2013",Unreleased,Unreleased,Unreleased,K   XBLA,
Fret Nice,Platformer,Pieces Interactive,Koei Tecmo,"Feb 24, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Frogger,Classics,Konami/Digital Eclipse,Konami,"Jul 12, 2006",Unreleased,Unreleased,Unreleased,XBLA,XBO
Frogger 2,Action & Adventure,"Voltex, Inc.",Konami,"Jun 11, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Frogger: Hyper Arcade Edition,Classics,Zombie Studios,Konami,"Jul 6, 2012",Unreleased,Unreleased,Unreleased,XBLA,
From Dust,Strategy & Simulation,Ubisoft Montpellier,Ubisoft,"Jul 27, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Front Mission Evolved,"Tank & Mecha Sim, Third-person Shooter",Double Helix Games,Square Enix,"Sep 28, 2010","Oct 8, 2010","Sep 16, 2010","Nov 22, 2013",,
Frontlines: Fuel of War,"First-person shooter, Action",Kaos Studios,THQ,"Feb 25, 2008","Feb 29, 2008","Apr 24, 2008","Nov 22, 2013",,XBO
Frozen Free Fall: Snowball Fight,Puzzle & Trivia,SuperVillain Studios,Disney Interactive Studios,"Sep 15, 2015",Unreleased,Unreleased,Unreleased,XBLA,
Fruit Ninja Kinect,Kinect,Halfbrick Studios,Microsoft Studios,"Aug 10, 2011",Unreleased,Unreleased,Unreleased,K   XBLA,
Fuel,"Racing, Open World",Asobo Studios,Codemasters,"Jun 2, 2009","Jun 12, 2009",Unreleased,"Nov 22, 2013",,XBO
Full Auto,Vehicular combat,Pseudo Interactive,Sega,"Feb 14, 2006","Feb 10, 2006","Sep 28, 2006","Mar 23, 2006",,
Full House Poker,Card & Board,Microsoft Studios/Krome Studios,Microsoft Studios,"Mar 16, 2011",Unreleased,Unreleased,Unreleased,XBLA,
FunTown Mahjong,Card & Board,FunTown World,Microsoft Game Studios,"Jan 28, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Fuse,Action,Insomniac Games,Electronic Arts,"May 28, 2013","May 31, 2013",Unreleased,"Nov 22, 2013",,
Fusion: Genesis,Shooter,Starfire Studio,Microsoft Studios,"Nov 9, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Fuzion Frenzy 2,Party,Hudson Soft,Microsoft Game Studios,"Jan 30, 2007","Feb 16, 2007","Feb 8, 2007","Nov 22, 2013",,
G.I. Joe: The Rise of Cobra,Action,Double Helix Games,Electronic Arts,"Aug 4, 2009","Aug 7, 2009",Unreleased,"Nov 22, 2013",,
Ga-Sen Love Plus Pengo!,Platformer,Triangle Service,Triangle Service,Unreleased,Unreleased,"Apr 24, 2014",Unreleased,,
Gal Gun,Rail Shooter,Inti Creates,Alchemist,Unreleased,Unreleased,"Jan 27, 2011","Nov 22, 2013",,
Galaga,Classics,Namco,Namco,"Jul 26, 2006",Unreleased,Unreleased,Unreleased,XBLA,XBO
Galaga Legions,Shooter,Namco,Namco,"Aug 20, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Galaga Legions DX,Shooter,Namco Bandai Games,Namco Bandai Games,"Jun 29, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Game of Thrones,Action Role-playing,Cyanide Studios,Atlus,"May 15, 2012","Jun 8, 2012",Unreleased,"Nov 22, 2013",,
Game of Thrones,Graphic adventure,Telltale Games,Telltale Games,"Dec 3, 2014","Feb 3, 2014",Unreleased,"Nov 22, 2013",,
Game Party: In Motion,,FarSight Studios,Warner Bros. Interactive Entertainment,"Nov 18, 2010","Nov 26, 2010","Dec 9, 2010",Unreleased,K,
Garou: Mark of the Wolves,Classics,SNK,SNK,"Jun 24, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Gatling Gears,Action & Adventure,Vanguard Games,Electronic Arts,"May 11, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Gauntlet,Classics,Midway Games/Digital Eclipse,Midway Games,"Nov 22, 2005",Unreleased,Unreleased,Unreleased,XBLA,
Gears of War,Third-person Shooter,Epic Games,Microsoft Game Studios,"Nov 7, 2006","Nov 17, 2006","Jan 18, 2007","Nov 23, 2006",,XBO
Gears of War 2,Third-person Shooter,Epic Games,Microsoft Game Studios,"Nov 7, 2008","Nov 7, 2008","Jul 30, 2009","Nov 7, 2009",,XBO   XE
Gears of War 3,Third-person Shooter,Epic Games,Microsoft Studios,"Sep 20, 2011","Sep 20, 2011","Sep 22, 2011","Sep 20, 2011",3D,XBO   XE
Gears of War: Judgment,Third-person Shooter,People Can Fly,Microsoft Studios,"Mar 19, 2013","Mar 22, 2013","Mar 21, 2013","Mar 19, 2013",,XBO
Gel: Set & Match,Puzzle & Trivia,Gastronaut Studios,Microsoft Game Studios,"May 20, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Generator Rex: Agent of Providence,Action-adventure,Activision,Activision,"Nov 1, 2011","Nov 4, 2011",Unreleased,"Nov 22, 2013",,
Geometry Wars 3: Dimensions,Action & Adventure,Lucid Games,Activision,"Nov 25, 2014",Unreleased,Unreleased,Unreleased,XBLA,XBO
Geometry Wars 3: Dimensions Evolved,Action & Adventure,Lucid Games,Sierra Entertainment,"Jan 15, 2015",Unreleased,Unreleased,Unreleased,XBLA,XBO
Geometry Wars: Retro Evolved,Action & Adventure,Bizarre Creations,Microsoft Game Studios,"Nov 22, 2005",Unreleased,Unreleased,Unreleased,XBLA,XBO
Geometry Wars: Retro Evolved 2,Action & Adventure,Bizarre Creations,Microsoft Game Studios,"Jul 30, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Geon: Emotions,Action & Adventure,Strawdog Studios,Square Enix,"Sep 19, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Get Fit With Mel B,,Lightning Fish,"Deep Silver, Black Bean Games",Unreleased,"Nov 26, 2010",Unreleased,Unreleased,K,
G-Force,"Action, Platform",Eurocom,Disney Interactive Studios,"Jul 21, 2009","Jul 21, 2009",Unreleased,"Nov 22, 2013",3D,
Ghostbusters: Sanctum of Slime,Shooter,Behaviour Interactive,Atari,"Mar 23, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Ghostbusters: The Video Game,"Action-adventure, Third-person shooter","Terminal Reality, Threewave Software",Atari,"Jun 16, 2009","Jun 19, 2009",Unreleased,"Nov 22, 2013",,XBO
Giana Sisters: Twisted Dreams,Action & Adventure,Black Forest Games,bitComposer Interactive,"Mar 20, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Gin Rummy,Card & Board,Studios Ch'in,Activision,"Sep 3, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Ginga Force,Shoot 'em up,Qute,Qute,Unreleased,Unreleased,"Aug 30, 2012","Nov 22, 2013",,
Girl Fight,Fighting,Kung Fu Factory,Majesco Entertainment,"Sep 25, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Go! Go! Break Steady,Family & Educational,Little Boy Games,Microsoft Game Studios,"Jul 23, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Goat Simulator,Action & Adventure,Double Eleven,Double Eleven,"Apr 17, 2015",Unreleased,Unreleased,Unreleased,XBLA,XBO
Goat Simulator: Mmore Goatz Edition,Action & Adventure,Double Eleven,Double Eleven,"Aug 26, 2015",Unreleased,Unreleased,Unreleased,XBLA,
The Godfather: The Game,Action-adventure,EA Redwood Shores,Electronic Arts,"Sep 19, 2006","Sep 22, 2006","Jan 25, 2007","Nov 22, 2006",,
The Godfather II,"Action-adventure, Open World",EA Redwood Shores,Electronic Arts,"Apr 7, 2009","Apr 9, 2009","Apr 16, 2009","Nov 22, 2009",,
God Mode,Shooter,Old School Games,Atlus,"Apr 19, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Golden Axe,Classics,Sega/Digital Eclipse,Sega,"Jul 11, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Golden Axe: Beast Rider,Hack & Slash,Secret Level,Sega,"Oct 14, 2008","Oct 17, 2007",Unreleased,"Nov 22, 2013",,
Golden Fantasia X,Fighting,07th Expansion,Alchemist,Unreleased,Unreleased,"Oct 6, 2011",Unreleased,,
The Golden Compass,Action-adventure,Shiny Entertainment,Sega,"Dec 4, 2007","Nov 30, 2007",Unreleased,"Nov 22, 2013",,
GoldenEye 007: Reloaded,First-person shooter,Eurocom,Activision,"Nov 1, 2011","Nov 4, 2011",Unreleased,"Nov 22, 2013",,
Golf: Tee It Up!,Sports & Recreation,Housemarque,Activision,"Jul 9, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Goosebumps: The Game,Action & Adventure,WayForward Technologies,GameMill Entertainment,"Oct 14, 2015",Unreleased,Unreleased,Unreleased,XBLA,
Gotham City Impostors,Shooter,Monolith Productions,Warner Bros. Interactive Entertainment,"Feb 8, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Grand Slam Tennis 2,Sports,EA Canada,EA Sports,"Feb 12, 2012","Feb 10, 2012",Unreleased,"Nov 22, 2013",,
Grand Theft Auto IV,"Action-adventure, Open World",Rockstar North,"Rockstar Games, CapcomJP","Apr 29, 2008","Apr 29, 2008","Oct 30, 2008","Nov 22, 2013",,XBO
Grand Theft Auto V,"Action-adventure, Open World",Rockstar North,Rockstar Games,"Sep 17, 2013","Sep 17, 2013","Oct 10, 2013","Nov 22, 2013",,
Grand Theft Auto: Episodes from Liberty City,"Action-adventure, Open World, Expansion",Rockstar North,Rockstar Games,"Oct 29, 2009","Oct 29, 2009",Unreleased,"Nov 22, 2013",,
Grand Theft Auto: San Andreas,"Action-adventure, Open World",Rockstar North,Rockstar Games,"Jun 30, 2015","Jul 17, 2015","Jul 17, 2015","Nov 22, 2013",,
Gray Matter,Adventure,Wizarbox,dtp entertainment,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Grease Dance,,Zoë Mode,505 Games,"Oct 25, 2011","Nov 4, 2011",Unreleased,Unreleased,K,
Greed Corp,Strategy & Simulation,W!Games,Valcon Games,"Feb 24, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Green Day: Rock Band,Music,Harmonix,MTV Games,"Jun 8, 2010","Jun 11, 2010",Unreleased,"Nov 22, 2013",,
Green Lantern: Rise of the Manhunters,Action,Double Helix Games,Warner Bros. Interactive Entertainment,"Jun 7, 2011","Jun 10, 2011",Unreleased,"Nov 22, 2013",3D,
Greg Hastings Painball 2,First-person shooter,Majesco Entertainment,Activision,"Sep 14, 2010","Sep 14, 2010",Unreleased,"Nov 22, 2013",,XBO
Grid 2,Racing,Codemasters Southam,Codemasters,"May 28, 2013","May 31, 2013","Jul 25, 2013","Nov 22, 2013",,XBO
Grid Autosport,Racing,Codemasters Southam,Codemasters,"Jun 24, 2014","Jun 27, 2014","Jun 24, 2014","Nov 22, 2013",,XBO
GripShift,Racing & Flying,Sidhe Interactive,Microsoft Game Studios,"Dec 12, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Guacamelee!: Super Turbo Championship Edition,Action & Adventure,DrinkBox Studios,Activision,"Jul 2, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Guardian Heroes,"Action & Adventure, Role Playing",Treasure,Sega,"Oct 12, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Guardians of Middle-earth,Strategy & Simulation,Monolith Productions,Warner Bros. Interactive Entertainment,"Dec 5, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Guilty Gear 2: Overture,"Action-adventure, RTS",Arc System Works,505 Games,"Oct 7, 2008","Sep 25, 2009","Nov 29, 2007","Nov 22, 2013",,
Guilty Gear XX Accent Core Plus,Fighting,Arc System Works,Arc System Works,"Oct 24, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Guitar Hero 5,Music,Neversoft,Activision,"Sep 1, 2009","Sep 11, 2009",Unreleased,"Sep 16, 2009",,
Guitar Hero: Aerosmith,Music,Neversoft,Activision,"Jun 29, 2008","Jun 27, 2008",Unreleased,"Aug 6, 2008",,
Guitar Hero: Metallica,Music,Neversoft,Activision,"Mar 29, 2009","May 29, 2009",Unreleased,"May 27, 2009",,
Guitar Hero: Van Halen,Music,Underground Development,Activision,"Dec 22, 2009","Feb 19, 2010",Unreleased,"Nov 22, 2013",,
Guitar Hero: Warriors of Rock,Music,Neversoft,Activision,"Sep 28, 2010","Sep 24, 2010",Unreleased,"Sep 29, 2010",,
Guitar Hero II,Music,Harmonix,"RedOctane, Activision","Apr 3, 2007","Apr 6, 2007",Unreleased,"Apr 4, 2007",,
Guitar Hero III: Legends of Rock,Music,Neversoft,Activision,"Oct 28, 2007","Nov 23, 2007","Jun 19, 2008","Nov 7, 2007",,
Guitar Hero Live,Music,FreeStyleGames,Activision,"Oct 20, 2015","Oct 23, 2015",Unreleased,"Oct 20, 2015",,
Guitar Hero Smash Hits,Music,Beenox,Activision,"Jun 16, 2009","Jun 26, 2009",Unreleased,"Jun 24, 2009",,
Guitar Hero World Tour,Music,Neversoft,Activision,"Oct 26, 2008","Nov 7, 2008",Unreleased,"Nov 12, 2008",,
Gun,Action-adventure,Neversoft,Activision,"Nov 22, 2005","Dec 2, 2005",Unreleased,"Mar 23, 2006",,
Guncraft: Blocked & Loaded,Action & Adventure,Exato Game Studios,GameMill Entertainment,"Jul 14, 2015",Unreleased,Unreleased,Unreleased,XBLA,
Gunstar Heroes,Classics,Treasure/Backbone Entertainment,Sega,"Jun 10, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
The Gunstringer,"Third-person shooter, rail shooter",Twisted Pixel Games,Microsoft Studios,"Sep 13, 2011","Sep 16, 2011",Unreleased,Unreleased,K,
Guwange,Classics,Cave,Cave,"Nov 10, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Gyromancer,Puzzle & Trivia,PopCap Games/Square Enix,Square Enix,"Nov 18, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Gyruss,Classics,Konami/Digital Eclipse,Konami,"Apr 18, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Hail to the Chimp,Party,Wideload Games,Gamecock Media Group,"Jun 24, 2008","Jun 19, 2009",Unreleased,"Nov 22, 2013",,
Half-Minute Hero: Super Mega Neo Climax,Role Playing,Marvelous Entertainment,Microsoft Studios,"Jun 29, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Halo 3,First-person shooter,Bungie,Microsoft Game Studios,"Sep 25, 2007","Sep 26, 2007","Sep 27, 2007","Sep 25, 2007",,XBO   XE
Halo 3: ODST,First-person shooter,Bungie,Microsoft Game Studios,"Sep 22, 2009","Sep 22, 2009","Sep 24, 2009","Sep 22, 2009",,XBO
Halo 4,First-person shooter,343 Industries,Microsoft Studios,"Nov 6, 2012","Nov 6, 2012","Nov 6, 2012","Nov 6, 2012",,XBO
Halo: Combat Evolved Anniversary,First-person shooter,343 Industries/Saber Interactive,Microsoft Studios,"Nov 15, 2011","Nov 15, 2011","Nov 15, 2011","Nov 15, 2011",3D   K,XBO
Halo: Reach,First-person shooter,Bungie,Microsoft Game Studios,"Sep 14, 2010","Sep 14, 2010","Sep 14, 2010","Sep 14, 2010",,XBO
Halo: Spartan Assault,Shooter,343 Industries/Vanguard Games,Microsoft Studios,"Jan 31, 2014","Jan 31, 2014","Jan 31, 2014","Jan 31, 2014",XBLA,XBO
Halo Wars,RTS,Ensemble Studios,Microsoft Game Studios,"Mar 3, 2009","Feb 27, 2009","Feb 26, 2009","Feb 26, 2009",,XBO
Handball 16,Sports,Eko Software,Bigben Interactive,"Nov 27, 2015","Nov 27, 2015",Unreleased,"Nov 26, 2015",,
Hannah Montana: The Movie,"Adventure, Music",n-Space,Disney Interactive Studios,"Apr 7, 2009","May 1, 2009",Unreleased,"Nov 22, 2013",,
Happy Feet Two: The Video Game,"Adventure, Music",KMM Games,Warner Bros. Interactive Entertainment,"Nov 8, 2011","Nov 25, 2011",Unreleased,"Nov 22, 2013",3D,
Happy Tree Friends: False Alarm,Strategy & Simulation,Stainless Games,Sega,"Jun 25, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Happy Wars,Action & Adventure,Toylogic,Microsoft Studios,"Oct 12, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Hard Corps: Uprising,Action & Adventure,Arc System Works,Konami,"Feb 16, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Hardwood Backgammon,Card & Board,Silver Creek Entertainment,Microsoft Game Studios,"Dec 8, 2005",Unreleased,Unreleased,Unreleased,XBLA,XBO
Hardwood Hearts,Card & Board,Silver Creek Entertainment,Microsoft Game Studios,"Dec 8, 2005",Unreleased,Unreleased,Unreleased,XBLA,XBO
Hardwood Spades,Card & Board,Silver Creek Entertainment,Microsoft Game Studios,"Dec 8, 2005",Unreleased,Unreleased,Unreleased,XBLA,XBO
Harley Pasternak's Hollywood Workout,,Heavy Iron Studios,Majesco Entertainment,"Sep 18, 2012",Unreleased,Unreleased,Unreleased,K,
Harms Way,Racing & Flying,Bongfish,Microsoft Game Studios,"Dec 8, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Harry Potter and the Deathly Hallows: Part I,Third-person Shooter,EA Bright Light,Electronic Arts,"Nov 16, 2010","Nov 19, 2010",Unreleased,"Nov 22, 2013",K,
Harry Potter and the Deathly Hallows: Part II,Third-person Shooter,EA Bright Light,Electronic Arts,"Jul 12, 2011","Jul 15, 2011",Unreleased,"Nov 22, 2013",,
Harry Potter and the Half-Blood Prince,Third-person Shooter,EA Bright Light,Electronic Arts,"Jun 30, 2009","Jul 3, 2009",Unreleased,"Nov 22, 2013",,
Harry Potter and the Order of the Phoenix,Action-adventure,EA Bright Light,Electronic Arts,"Jun 25, 2007","Jun 29, 2007","Nov 22, 2007","Nov 22, 2013",,
Harry Potter for Kinect,,Eurocom,Warner Bros. Interactive Entertainment,"Oct 9, 2012",Unreleased,Unreleased,Unreleased,K,
Hasbro Family Game Night,Board Game,EA Bright Light,Electronic Arts,"Nov 10, 2009","Nov 13, 2009",Unreleased,"Nov 22, 2013",XBLA,
Hasbro Family Game Night 3,Board Game,EA Bright Light,Electronic Arts,"Oct 25, 2010","Nov 5, 2010",Unreleased,"Nov 22, 2013",,
Hasbro Family Game Night 4: The Game Show,Board Game,EA Salt Lake,Electronic Arts,"Nov 1, 2011","Nov 4, 2010",Unreleased,"Nov 22, 2013",K,
Hasbro Family Game Night: Battleship,Board Game,EA Bright Light,Electronic Arts,"Mar 18, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Hasbro Family Game Night: Boggle,Board Game,EA Bright Light,Electronic Arts,"Mar 18, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Hasbro Family Game Night: Connect Four,Board Game,EA Bright Light,Electronic Arts,"Mar 18, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Hasbro Family Game Night: Scrabble,Board Game,EA Bright Light,Electronic Arts,"Mar 18, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Hasbro Family Game Night: Sorry!,Board Game,EA Bright Light,Electronic Arts,"Mar 18, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Hasbro Family Game Night: Sorry! Sliders,Board Game,EA Bright Light,Electronic Arts,"Mar 18, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Hasbro Family Game Night: Yahtzee,Board Game,EA Bright Light,Electronic Arts,"Mar 18, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Haunt,Kinect,NanaOn-Sha,Microsoft Studios,"Jan 18, 2012",Unreleased,Unreleased,Unreleased,K   XBLA,
Haunted House,Action & Adventure,ImaginEngine,Atari,"Oct 28, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Heavy Fire: Shattered Spear,Rail Shooter,Teyon,Mastiff,"Jan 29, 2013","Aug 2, 2013","Jan 24, 2013",Unreleased,,
Heavy Weapon,Action & Adventure,PopCap Games,Microsoft Game Studios,"Jan 17, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Hell Yeah! Wrath of the Dead Rabbit,Action & Adventure,Arkedo Studio,Sega,"Sep 26, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Hellboy: The Science of Evil,Action,Krome Studios,Konami,"Jun 24, 2008","Aug 29, 2008",Unreleased,"Nov 22, 2013",,
Heroes Over Europe,Combat flight simulation game,Transmission Games,Ubisoft,"Sep 15, 2009","Sep 18, 2009",Unreleased,"Nov 22, 2013",,
Hexic 2,Puzzle & Trivia,Carbonated Games,Microsoft Game Studios,"Aug 15, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Hexic HD,Puzzle & Trivia,Carbonated Games,Microsoft Game Studios,"Nov 22, 2005",Unreleased,Unreleased,Unreleased,XBLA,XBO
Hexodius,Shooter,Brain Slap Studio,Bandai Namco Entertainment,"Oct 16, 2013",Unreleased,Unreleased,Unreleased,XBLA,
High School Musical 3: Senior Year Dance,Music,Page 44 Studios,Disney Interactive Studios,"Oct 28, 2008","Nov 7, 2008",Unreleased,"Nov 22, 2013",,
The Hip Hop Dance Experience,Dance,iNiS,Ubisoft,"Nov 13, 2012","Nov 13, 2012",Unreleased,Unreleased,K,
The History Channel: Battle for the Pacific,First-person Shooter,Cauldron,Activision Value,"Nov 30, 2007","Mar 7, 2008",Unreleased,"Nov 22, 2013",,
The History Channel: Civil War – A Nation Divided,First-person Shooter,Cauldron,Activision Value,"Nov 7, 2006","Nov 7, 2006",Unreleased,"Nov 22, 2013",,
The History Channel: Great Battles Medieval,First-person shooter,Slitherine,Slitherine,"May 6, 2011","May 6, 2011",Unreleased,"Nov 22, 2013",,
History – Civil War: Secret Missions,"First-person shooter, Stealth",Cauldron,Activision Value,"Nov 4, 2008","Nov 4, 2008",Unreleased,"Nov 22, 2013",,
